,DISTRICT,Year,BLANK,CON,DEM,GRE,IND,OTH,REF,REP,WEP,WOR
69,14,2018,90.0,88.0,91.0,90.0,89.0,81.0,100.0,91.0,96.0,87.0
70,15,2014,88.0,89.0,90.0,87.0,88.0,84.0,0.0,87.0,0.0,86.0
71,15,2015,83.0,85.0,86.0,84.0,83.0,76.0,0.0,83.0,0.0,81.0
72,15,2016,84.0,86.0,86.0,84.0,84.0,77.0,100.0,84.0,93.0,82.0
73,15,2017,84.0,83.0,87.0,87.0,84.0,74.0,94.0,83.0,93.0,81.0
74,15,2018,84.0,84.0,86.0,89.0,84.0,66.0,97.0,82.0,91.0,79.0
75,16,2014,90.0,93.0,91.0,89.0,91.0,95.0,0.0,92.0,0.0,88.0
76,16,2015,89.0,93.0,90.0,90.0,89.0,88.0,0.0,91.0,0.0,87.0
77,16,2016,89.0,92.0,90.0,91.0,89.0,86.0,100.0,91.0,100.0,86.0
78,16,2017,90.0,94.0,91.0,92.0,90.0,90.0,100.0,93.0,95.0,86.0
79,16,2018,89.0,92.0,90.0,92.0,90.0,85.0,100.0,91.0,96.0,86.0
80,17,2014,92.0,94.0,93.0,89.0,93.0,91.0,0.0,93.0,0.0,93.0
81,17,2015,93.0,95.0,93.0,91.0,93.0,91.0,0.0,94.0,0.0,94.0
82,17,2016,91.0,94.0,92.0,89.0,91.0,88.0,99.0,93.0,96.0,93.0
83,17,2017,93.0,95.0,94.0,92.0,93.0,90.0,99.0,94.0,98.0,93.0
84,17,2018,91.0,94.0,92.0,88.0,92.0,88.0,99.0,93.0,98.0,91.0
85,18,2014,92.0,95.0,92.0,90.0,92.0,93.0,0.0,94.0,0.0,91.0
86,18,2015,92.0,95.0,92.0,90.0,92.0,94.0,100.0,94.0,100.0,90.0
87,18,2016,91.0,94.0,92.0,90.0,91.0,91.0,98.0,93.0,100.0,90.0
88,18,2017,94.0,96.0,95.0,93.0,95.0,94.0,99.0,96.0,95.0,94.0
89,18,2018,92.0,94.0,92.0,89.0,92.0,90.0,96.0,93.0,95.0,90.0
90,19,2014,91.0,94.0,91.0,89.0,91.0,88.0,0.0,94.0,0.0,89.0
91,19,2015,92.0,95.0,91.0,90.0,92.0,90.0,100.0,94.0,0.0,90.0
92,19,2016,90.0,93.0,90.0,88.0,90.0,86.0,100.0,93.0,98.0,89.0
93,19,2017,94.0,95.0,94.0,93.0,93.0,91.0,98.0,96.0,97.0,92.0
94,19,2018,92.0,94.0,92.0,90.0,92.0,91.0,96.0,94.0,95.0,90.0
95,20,2014,89.0,92.0,89.0,84.0,89.0,80.0,0.0,92.0,0.0,84.0
96,20,2015,92.0,94.0,92.0,90.0,92.0,77.0,0.0,95.0,100.0,89.0
97,20,2016,89.0,92.0,90.0,88.0,90.0,72.0,100.0,93.0,97.0,86.0
98,20,2017,93.0,95.0,94.0,92.0,93.0,83.0,98.0,95.0,94.0,88.0
99,20,2018,90.0,93.0,91.0,88.0,91.0,80.0,99.0,93.0,88.0,86.0
100,21,2014,89.0,94.0,91.0,87.0,90.0,80.0,0.0,94.0,0.0,87.0
101,21,2015,91.0,95.0,93.0,88.0,92.0,76.0,0.0,95.0,0.0,89.0
102,21,2017,91.0,94.0,94.0,91.0,93.0,86.0,98.0,95.0,95.0,89.0
103,21,2018,88.0,92.0,92.0,88.0,90.0,89.0,89.0,94.0,92.0,87.0
104,22,2014,90.0,94.0,91.0,87.0,90.0,87.0,0.0,94.0,0.0,88.0
