,DISTRICT,STATUS,Year,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,WEP,REF
78,6,Active,2017,202317,53812,2019,868,9029,581,93,86114,105.0,17.0
79,6,Active,2018,198024,52511,1951,849,8905,592,83,87250,161.0,38.0
80,6,Inactive,2014,13180,3361,125,69,705,29,10,5640,0.0,0.0
81,6,Inactive,2015,16415,4012,157,81,862,31,15,7007,0.0,0.0
82,6,Inactive,2016,13012,3026,136,64,663,23,10,5518,0.0,0.0
83,6,Inactive,2017,13980,3455,156,69,748,29,10,6150,0.0,0.0
84,6,Inactive,2018,15016,3699,145,77,789,35,9,6769,4.0,0.0
85,6,Total,2014,206687,54900,2387,956,9824,461,87,82946,0.0,0.0
86,6,Total,2015,202604,53030,2299,991,9684,472,85,83375,0.0,0.0
87,6,Total,2016,199787,51674,2206,995,9388,504,89,84381,29.0,6.0
88,6,Total,2017,216297,57267,2175,937,9777,610,103,92264,105.0,17.0
89,6,Total,2018,213040,56210,2096,926,9694,627,92,94019,165.0,38.0
90,7,Active,2014,261258,24324,964,1601,7802,811,127,64042,0.0,0.0
91,7,Active,2015,247142,22472,878,1494,7356,810,116,62205,1.0,0.0
92,7,Active,2016,234281,19744,739,1433,6760,743,114,58029,57.0,8.0
93,7,Active,2017,278668,23702,838,1413,7233,887,141,67429,143.0,15.0
94,7,Active,2018,271911,22736,803,1369,6971,899,113,67437,203.0,22.0
95,7,Inactive,2014,19269,2336,83,141,824,112,16,6119,0.0,0.0
96,7,Inactive,2015,28992,3292,134,225,1187,151,23,8846,0.0,0.0
97,7,Inactive,2016,25551,2694,117,188,984,129,19,7439,0.0,0.0
98,7,Inactive,2017,25624,2910,128,193,1012,131,17,8002,3.0,0.0
99,7,Inactive,2018,31143,3355,133,219,1166,155,20,9357,10.0,1.0
100,7,Total,2014,280527,26660,1047,1742,8626,923,143,70161,0.0,0.0
101,7,Total,2015,276134,25764,1012,1719,8543,961,139,71051,1.0,0.0
102,7,Total,2016,259832,22438,856,1621,7744,872,133,65468,57.0,8.0
103,7,Total,2017,304292,26612,966,1606,8245,1018,158,75431,146.0,15.0
104,7,Total,2018,303054,26091,936,1588,8137,1054,133,76794,213.0,23.0
105,8,Active,2014,317391,31181,1234,1826,8955,534,71,55887,0.0,0.0
106,8,Active,2015,301145,29647,1197,1757,8510,543,68,53954,0.0,0.0
107,8,Active,2016,281952,27102,1096,1633,7837,523,64,50500,49.0,5.0
108,8,Active,2017,332738,33805,1175,1663,8884,675,74,61226,134.0,10.0
109,8,Active,2018,324586,32846,1122,1666,8649,713,54,62021,202.0,25.0
110,8,Inactive,2014,20331,1974,87,171,740,60,6,4553,0.0,0.0
111,8,Inactive,2015,35152,3056,142,271,1258,96,12,7966,0.0,0.0
112,8,Inactive,2016,31087,2487,112,225,1066,71,14,6682,0.0,0.0
113,8,Inactive,2017,29799,2560,110,230,1052,78,12,6878,0.0,0.0
114,8,Inactive,2018,36652,3183,141,271,1245,109,20,8419,11.0,2.0
115,8,Total,2014,337722,33155,1321,1997,9695,594,77,60440,0.0,0.0
116,8,Total,2015,336297,32703,1339,2028,9768,639,80,61920,0.0,0.0
117,8,Total,2016,313039,29589,1208,1858,8903,594,78,57182,49.0,5.0
118,8,Total,2017,362537,36365,1285,1893,9936,753,86,68104,134.0,10.0
119,8,Total,2018,361238,36029,1263,1937,9894,822,74,70440,213.0,27.0
120,9,Active,2014,305882,28845,1118,1712,8482,652,94,58802,0.0,0.0
121,9,Active,2015,292595,27516,1055,1618,8075,668,93,57177,0.0,0.0
122,9,Active,2016,275799,25427,955,1505,7352,677,94,53182,36.0,4.0
123,9,Active,2017,320732,31123,1067,1472,8132,777,96,62601,90.0,10.0
124,9,Active,2018,313949,30234,1034,1474,7952,823,90,62772,139.0,21.0
125,9,Inactive,2014,19671,1832,77,138,699,70,6,4903,0.0,0.0
126,9,Inactive,2015,32162,2852,122,251,1116,105,7,7798,0.0,0.0
127,9,Inactive,2016,28635,2519,109,234,983,83,5,6717,0.0,0.0
128,9,Inactive,2017,28895,2752,108,262,1023,91,11,7345,1.0,1.0
129,9,Inactive,2018,33517,3184,119,257,1160,115,11,8696,8.0,1.0
130,9,Total,2014,325553,30677,1195,1850,9181,722,100,63705,0.0,0.0
131,9,Total,2015,324757,30368,1177,1869,9191,773,100,64975,0.0,0.0
132,9,Total,2016,304434,27946,1064,1739,8335,760,99,59899,36.0,4.0
133,9,Total,2017,349627,33875,1175,1734,9155,868,107,69946,91.0,11.0
134,9,Total,2018,347466,33418,1153,1731,9112,938,101,71468,147.0,22.0
135,10,Active,2014,241859,45318,1279,739,10917,674,165,74338,0.0,0.0
136,10,Active,2015,228564,42430,1201,691,9940,704,157,70893,0.0,0.0
137,10,Active,2016,227505,41640,1113,603,9561,670,156,69618,37.0,1.0
138,10,Active,2017,254918,47799,1182,554,9738,735,193,81001,91.0,11.0
139,10,Active,2018,247623,45926,1128,570,9287,743,152,79918,128.0,24.0
140,10,Inactive,2014,29860,6857,114,91,1989,95,40,11884,0.0,0.0
