,DISTRICT,STATUS,Year,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,WEP,REF
343,24,Active,2018,143319,138353,8370,1844,21997,1394,521,103922,147.0,55.0
344,24,Inactive,2014,14765,9671,591,319,2426,164,39,11035,0.0,0.0
345,24,Inactive,2015,12943,7912,500,263,2164,162,39,9525,0.0,0.0
346,24,Inactive,2016,16217,9322,626,328,2616,192,60,12086,1.0,0.0
347,24,Inactive,2017,11319,7074,491,253,1884,148,44,9138,7.0,1.0
348,24,Inactive,2018,15962,9745,642,325,2496,211,74,12229,16.0,6.0
349,24,Total,2014,156588,149770,9022,2316,24384,1391,341,111682,0.0,0.0
350,24,Total,2015,151262,145428,9052,2266,23966,1456,400,110775,0.0,2.0
351,24,Total,2016,154839,145731,9217,2284,24102,1512,415,113485,33.0,16.0
352,24,Total,2017,157564,148693,8999,2146,24026,1539,512,113873,90.0,50.0
353,24,Total,2018,159281,148098,9012,2169,24493,1605,595,116151,163.0,61.0
354,25,Active,2014,170138,121738,7600,1454,19434,1084,402,98782,0.0,0.0
355,25,Active,2015,165989,118846,7650,1433,19328,1144,435,98627,0.0,0.0
356,25,Active,2016,169101,118734,7677,1434,19211,1134,444,99748,30.0,4.0
357,25,Active,2017,180925,123570,7521,1447,19554,1209,586,103733,106.0,30.0
358,25,Active,2018,178181,120433,7400,1404,19377,1180,607,103153,163.0,43.0
359,25,Inactive,2014,12067,5459,323,153,1269,88,34,6640,0.0,0.0
360,25,Inactive,2015,11812,4972,307,161,1214,94,38,6181,0.0,0.0
361,25,Inactive,2016,16255,6921,424,193,1731,125,57,8626,1.0,0.0
362,25,Inactive,2017,9382,4300,257,96,1021,91,36,5308,6.0,0.0
363,25,Inactive,2018,15180,6838,404,146,1533,158,61,8252,19.0,3.0
364,25,Total,2014,182205,127197,7923,1607,20703,1172,436,105422,0.0,0.0
365,25,Total,2015,177801,123818,7957,1594,20542,1238,473,104808,0.0,0.0
366,25,Total,2016,185356,125655,8101,1627,20942,1259,501,108374,31.0,4.0
367,25,Total,2017,190307,127870,7778,1543,20575,1300,622,109041,112.0,30.0
368,25,Total,2018,193361,127271,7804,1550,20910,1338,668,111405,182.0,46.0
369,26,Active,2014,239607,91854,7629,2407,18997,1101,300,67116,0.0,0.0
370,26,Active,2015,234287,89463,7725,2446,18933,1194,313,68256,0.0,0.0
371,26,Active,2016,233472,89134,7848,2531,18946,1272,316,70471,53.0,25.0
372,26,Active,2017,241503,92915,7657,2447,19195,1347,407,74036,117.0,67.0
373,26,Active,2018,234929,90506,7508,2372,19155,1351,444,74621,192.0,87.0
374,26,Inactive,2014,18879,5518,382,322,1567,115,33,7091,0.0,0.0
375,26,Inactive,2015,16085,4664,340,262,1424,138,36,6025,0.0,0.0
376,26,Inactive,2016,19212,5505,401,290,1672,152,45,7420,0.0,0.0
377,26,Inactive,2017,17010,5031,360,274,1567,133,43,7598,8.0,1.0
378,26,Inactive,2018,19306,5621,405,284,1602,155,47,8109,22.0,7.0
379,26,Total,2014,258486,97372,8011,2729,20564,1216,333,74207,0.0,0.0
380,26,Total,2015,250372,94127,8065,2708,20357,1332,349,74281,0.0,0.0
381,26,Total,2016,252684,94639,8249,2821,20618,1424,361,77891,53.0,25.0
382,26,Total,2017,258513,97946,8017,2721,20762,1480,450,81634,125.0,68.0
383,26,Total,2018,254235,96127,7913,2656,20757,1506,491,82730,214.0,94.0
384,27,Active,2014,141632,177897,12207,2319,24274,1055,321,90252,0.0,0.0
385,27,Active,2015,139003,175785,12555,2349,24606,1108,352,91607,1.0,0.0
386,27,Active,2016,140688,177013,12836,2387,24721,1212,439,93682,25.0,15.0
387,27,Active,2017,144847,185556,12812,2308,25447,1304,542,96981,58.0,51.0
388,27,Active,2018,142703,183641,12825,2299,25525,1337,627,97801,102.0,73.0
389,27,Inactive,2014,8586,8782,518,195,1728,97,19,6881,0.0,0.0
390,27,Inactive,2015,6913,7283,455,168,1406,105,23,5743,0.0,0.0
391,27,Inactive,2016,7334,8065,559,180,1518,104,33,6479,0.0,0.0
392,27,Inactive,2017,5906,6303,444,150,1172,77,31,5160,2.0,0.0
393,27,Inactive,2018,7283,7959,550,165,1433,102,42,6377,8.0,0.0
394,27,Total,2014,150218,186679,12725,2514,26002,1152,340,97133,0.0,0.0
395,27,Total,2015,145916,183068,13010,2517,26012,1213,375,97350,1.0,0.0
396,27,Total,2016,148022,185078,13395,2567,26239,1316,472,100161,25.0,15.0
397,27,Total,2017,150753,191859,13256,2458,26619,1381,573,102141,60.0,51.0
398,27,Total,2018,149986,191600,13375,2464,26958,1439,669,104178,110.0,73.0
