Year,DOMINANT_PARTY,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL,WEP,REF,DOMINANT_PERCENTAGE,Flipped
2017,DEM,237366,37424,1979,1119,8563,656,106,67164,354514,129.0,8.0,66.96,0
2018,DEM,235745,36415,1935,1138,8490,720,90,68696,353466,209.0,28.0,66.7,0
2014,DEM,295663,15461,1232,1799,6318,180,43,47385,368081,0.0,0.0,80.33,0
2015,DEM,302455,15822,1275,1870,6457,226,42,49502,377649,0.0,0.0,80.09,0
2016,DEM,302918,15767,1248,1864,6350,269,35,50090,378657,109.0,7.0,80.0,0
2017,DEM,328974,16715,1233,1858,6578,381,38,53013,409016,209.0,17.0,80.43,0
2018,DEM,327124,16567,1272,1902,6616,479,35,54990,409335,312.0,38.0,79.92,0
2014,DEM,261787,69481,4880,1368,14503,403,75,75586,428083,0.0,0.0,61.15,0
2015,DEM,260783,68243,4763,1356,12944,433,75,77884,426481,0.0,0.0,61.15,0
2016,DEM,265730,69064,4759,1372,13268,467,80,80743,435526,39.0,4.0,61.01,0
2017,DEM,287801,71679,4580,1367,13926,555,99,86394,466522,95.0,26.0,61.69,0
2018,DEM,281385,69086,4408,1321,13646,638,108,85775,456598,159.0,72.0,61.63,0
2014,DEM,199459,106724,8010,1467,20434,714,69,106993,443870,0.0,0.0,44.94,0
2015,DEM,199247,105466,7936,1496,18895,787,67,109166,443060,0.0,0.0,44.97,0
2016,DEM,207435,108216,8071,1596,19444,822,81,113106,458925,45.0,109.0,45.2,0
2017,DEM,219219,112401,7785,1553,19997,911,115,117261,479485,92.0,151.0,45.72,0
2018,DEM,218664,111054,8248,1527,19671,917,110,116872,477406,134.0,209.0,45.8,0
2014,DEM,157273,141869,9019,1917,24335,989,220,107490,443112,0.0,0.0,35.49,0
2015,DEM,155017,139062,9035,1986,24095,1018,249,108436,438900,1.0,1.0,35.32,0
2016,DEM,160532,141272,9280,2017,24572,1170,263,111986,451187,49.0,46.0,35.58,0
2017,DEM,164746,144587,9089,1934,24657,1255,364,112281,459111,118.0,80.0,35.88,0
2018,DEM,167303,145058,9159,1960,24968,1259,389,114861,465231,166.0,108.0,35.96,0
2014,REP,144423,147579,11358,2557,28874,1929,252,126025,462997,0.0,0.0,31.87,1
2015,REP,140868,143441,11374,2552,28679,2035,299,125146,454396,0.0,2.0,31.57,0
2016,DEM,147253,144898,11625,2557,28924,1980,335,126928,464578,54.0,24.0,31.7,1
2017,DEM,150122,147553,11267,2369,28468,2030,379,124722,467072,107.0,55.0,32.14,0
2018,DEM,152792,147025,11232,2400,28773,2076,397,125329,470289,176.0,89.0,32.49,0
2014,DEM,192546,119817,11220,2638,28319,1274,452,115069,471335,0.0,0.0,40.85,0
2015,DEM,183123,113728,11064,2475,27375,1319,476,111646,451209,3.0,0.0,40.58,0
2016,DEM,192531,115655,11272,2526,27978,1404,467,115393,467303,68.0,9.0,41.2,0
2017,DEM,193727,116062,10970,2373,27630,1534,383,116340,469214,147.0,48.0,41.29,0
2018,DEM,196570,115313,11026,2451,27952,1641,370,118987,474621,211.0,100.0,41.42,0
2014,REP,127262,181832,6131,1967,27090,1144,92,90227,435745,0.0,0.0,41.73,1
2015,REP,122096,175526,6190,1900,26471,1194,92,88393,421862,0.0,0.0,41.61,0
2017,REP,127555,177771,6368,1816,26709,1361,158,91527,433374,55.0,54.0,41.02,0
2018,REP,128438,177800,6498,1834,27235,1418,226,94182,437808,104.0,73.0,40.61,0
2014,REP,140503,169424,6875,2192,25632,1182,164,87180,433152,0.0,0.0,39.11,0
2015,REP,135755,165297,6966,2165,25308,1226,208,86887,423813,0.0,1.0,39.0,0
2016,REP,140836,167833,7190,2255,25819,1277,299,90014,435576,46.0,7.0,38.53,0
2018,REP,138908,168093,7065,2080,25362,1323,426,89744,433264,162.0,101.0,38.8,0
2014,REP,141994,165322,7608,2388,24327,1596,242,90971,434448,0.0,0.0,38.05,0
2015,REP,135764,160120,7730,2342,23661,1612,285,89804,421320,2.0,0.0,38.0,0
2016,REP,140987,161892,7979,2391,24072,1604,314,93046,432334,40.0,9.0,37.45,0
2017,REP,139338,162266,7739,2183,23239,1616,365,90813,427750,105.0,86.0,37.93,0
2018,REP,139896,162757,7852,2218,23678,1648,401,93572,432273,150.0,101.0,37.65,0
