DISTRICT,PARTY,Year,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27
STATUS,,,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total
8,REP,2017,163612.0,5104.0,168716.0,159917.0,4118.0,164035.0,154597.0,4103.0,158700.0,171973.0,2992.0,174965.0,34607.0,1686.0,36293.0,53812.0,3455.0,57267.0,23702.0,2910.0,26612.0,33805.0,2560.0,36365.0,31123.0,2752.0,33875.0,47799.0,8548.0,56347.0,111509.0,7349.0,118858.0,57508.0,11513.0,69021.0,17470.0,3485.0,20955.0,34049.0,3375.0,37424.0,13897.0,2818.0,16715.0,66322.0,5357.0,71679.0,106136.0,6265.0,112401.0,138187.0,6400.0,144587.0,141082.0,6471.0,147553.0,110696.0,5366.0,116062.0,169387.0,8384.0,177771.0,,,,156240.0,6026.0,162266.0,141619.0,7074.0,148693.0,123570.0,4300.0,127870.0,92915.0,5031.0,97946.0,185556.0,6303.0,191859.0
9,REP,2018,162308.0,8290.0,170598.0,155996.0,7752.0,163748.0,148599.0,8835.0,157434.0,160861.0,10302.0,171163.0,33244.0,2273.0,35517.0,52511.0,3699.0,56210.0,22736.0,3355.0,26091.0,32846.0,3183.0,36029.0,30234.0,3184.0,33418.0,45926.0,9685.0,55611.0,110062.0,7921.0,117983.0,54431.0,12638.0,67069.0,16808.0,3815.0,20623.0,33020.0,3395.0,36415.0,13663.0,2904.0,16567.0,62717.0,6369.0,69086.0,102969.0,8085.0,111054.0,135552.0,9506.0,145058.0,138473.0,8552.0,147025.0,107575.0,7738.0,115313.0,166307.0,11493.0,177800.0,158621.0,9472.0,168093.0,153949.0,8808.0,162757.0,138353.0,9745.0,148098.0,120433.0,6838.0,127271.0,90506.0,5621.0,96127.0,183641.0,7959.0,191600.0
10,CON,2014,12071.0,461.0,12532.0,8891.0,262.0,9153.0,6254.0,187.0,6441.0,5292.0,100.0,5392.0,1534.0,83.0,1617.0,2262.0,125.0,2387.0,964.0,83.0,1047.0,1234.0,87.0,1321.0,1118.0,77.0,1195.0,1279.0,114.0,1393.0,5370.0,277.0,5647.0,1020.0,138.0,1158.0,821.0,125.0,946.0,1900.0,174.0,2074.0,1098.0,134.0,1232.0,4544.0,336.0,4880.0,7558.0,452.0,8010.0,8530.0,489.0,9019.0,10708.0,650.0,11358.0,10347.0,873.0,11220.0,5741.0,390.0,6131.0,6480.0,395.0,6875.0,7123.0,485.0,7608.0,8431.0,591.0,9022.0,7600.0,323.0,7923.0,7629.0,382.0,8011.0,12207.0,518.0,12725.0
11,CON,2015,12055.0,430.0,12485.0,8917.0,251.0,9168.0,6229.0,183.0,6412.0,5398.0,142.0,5540.0,1514.0,98.0,1612.0,2142.0,157.0,2299.0,878.0,134.0,1012.0,1197.0,142.0,1339.0,1055.0,122.0,1177.0,1201.0,150.0,1351.0,5255.0,363.0,5618.0,967.0,179.0,1146.0,777.0,162.0,939.0,1809.0,234.0,2043.0,1085.0,190.0,1275.0,4434.0,329.0,4763.0,7517.0,419.0,7936.0,8556.0,479.0,9035.0,10800.0,574.0,11374.0,10442.0,622.0,11064.0,5854.0,336.0,6190.0,6591.0,375.0,6966.0,7329.0,401.0,7730.0,8552.0,500.0,9052.0,7650.0,307.0,7957.0,7725.0,340.0,8065.0,12555.0,455.0,13010.0
12,CON,2016,12551.0,606.0,13157.0,9120.0,357.0,9477.0,6249.0,240.0,6489.0,5417.0,187.0,5604.0,1506.0,81.0,1587.0,2070.0,136.0,2206.0,739.0,117.0,856.0,1096.0,112.0,1208.0,955.0,109.0,1064.0,1113.0,129.0,1242.0,5290.0,309.0,5599.0,938.0,159.0,1097.0,768.0,125.0,893.0,1772.0,234.0,2006.0,1076.0,172.0,1248.0,4393.0,366.0,4759.0,7556.0,515.0,8071.0,8683.0,597.0,9280.0,10852.0,773.0,11625.0,10424.0,848.0,11272.0,,,,6636.0,554.0,7190.0,7404.0,575.0,7979.0,8591.0,626.0,9217.0,7677.0,424.0,8101.0,7848.0,401.0,8249.0,12836.0,559.0,13395.0
13,CON,2017,11921.0,422.0,12343.0,8694.0,243.0,8937.0,6054.0,170.0,6224.0,5218.0,95.0,5313.0,1490.0,84.0,1574.0,2019.0,156.0,2175.0,838.0,128.0,966.0,1175.0,110.0,1285.0,1067.0,108.0,1175.0,1182.0,144.0,1326.0,5152.0,399.0,5551.0,916.0,193.0,1109.0,733.0,151.0,884.0,1710.0,269.0,1979.0,1027.0,206.0,1233.0,4298.0,282.0,4580.0,7393.0,392.0,7785.0,8727.0,362.0,9089.0,10731.0,536.0,11267.0,10377.0,593.0,10970.0,6013.0,355.0,6368.0,,,,7390.0,349.0,7739.0,8508.0,491.0,8999.0,7521.0,257.0,7778.0,7657.0,360.0,8017.0,12812.0,444.0,13256.0
14,CON,2018,11778.0,643.0,12421.0,8457.0,428.0,8885.0,5872.0,305.0,6177.0,4911.0,315.0,5226.0,1468.0,88.0,1556.0,1951.0,145.0,2096.0,803.0,133.0,936.0,1122.0,141.0,1263.0,1034.0,119.0,1153.0,1128.0,177.0,1305.0,5299.0,409.0,5708.0,883.0,200.0,1083.0,738.0,154.0,892.0,1694.0,241.0,1935.0,1069.0,203.0,1272.0,4039.0,369.0,4408.0,7728.0,520.0,8248.0,8585.0,574.0,9159.0,10576.0,656.0,11232.0,10258.0,768.0,11026.0,5996.0,502.0,6498.0,6587.0,478.0,7065.0,7342.0,510.0,7852.0,8370.0,642.0,9012.0,7400.0,404.0,7804.0,7508.0,405.0,7913.0,12825.0,550.0,13375.0
15,WOR,2014,2118.0,133.0,2251.0,1793.0,92.0,1885.0,1238.0,66.0,1304.0,1390.0,35.0,1425.0,1254.0,104.0,1358.0,887.0,69.0,956.0,1601.0,141.0,1742.0,1826.0,171.0,1997.0,1712.0,138.0,1850.0,739.0,91.0,830.0,1429.0,103.0,1532.0,735.0,92.0,827.0,1365.0,203.0,1568.0,1013.0,113.0,1126.0,1551.0,248.0,1799.0,1208.0,160.0,1368.0,1364.0,103.0,1467.0,1754.0,163.0,1917.0,2274.0,283.0,2557.0,2212.0,426.0,2638.0,1707.0,260.0,1967.0,1935.0,257.0,2192.0,2087.0,301.0,2388.0,1997.0,319.0,2316.0,1454.0,153.0,1607.0,2407.0,322.0,2729.0,2319.0,195.0,2514.0
16,WOR,2015,2148.0,121.0,2269.0,1828.0,76.0,1904.0,1275.0,60.0,1335.0,1406.0,38.0,1444.0,1247.0,134.0,1381.0,910.0,81.0,991.0,1494.0,225.0,1719.0,1757.0,271.0,2028.0,1618.0,251.0,1869.0,691.0,129.0,820.0,1426.0,174.0,1600.0,741.0,130.0,871.0,1293.0,287.0,1580.0,1016.0,149.0,1165.0,1508.0,362.0,1870.0,1179.0,177.0,1356.0,1404.0,92.0,1496.0,1797.0,189.0,1986.0,2295.0,257.0,2552.0,2207.0,268.0,2475.0,1698.0,202.0,1900.0,1910.0,255.0,2165.0,2091.0,251.0,2342.0,2003.0,263.0,2266.0,1433.0,161.0,1594.0,2446.0,262.0,2708.0,2349.0,168.0,2517.0
17,WOR,2016,2164.0,177.0,2341.0,1814.0,125.0,1939.0,1316.0,69.0,1385.0,1406.0,50.0,1456.0,1261.0,105.0,1366.0,931.0,64.0,995.0,1433.0,188.0,1621.0,1633.0,225.0,1858.0,1505.0,234.0,1739.0,603.0,109.0,712.0,1410.0,146.0,1556.0,707.0,118.0,825.0,1337.0,233.0,1570.0,1055.0,130.0,1185.0,1523.0,341.0,1864.0,1185.0,187.0,1372.0,1478.0,118.0,1596.0,1807.0,210.0,2017.0,2264.0,293.0,2557.0,2166.0,360.0,2526.0,,,,1923.0,332.0,2255.0,2064.0,327.0,2391.0,1956.0,328.0,2284.0,1434.0,193.0,1627.0,2531.0,290.0,2821.0,2387.0,180.0,2567.0
